Символ,Частота
_,1942
А,1949
Б,1945
В,1924
Г,1991
Д,1924
Е,1942
Ж,1887
З,1968
И,1861
Й,1896
К,1920
Л,1900
М,1854
Н,1958
О,1952
П,1918
Р,1886
С,1935
Т,1929
У,2030
Ф,1932
Х,1929
Ц,1879
Ч,2007
Ш,1889
Щ,1951
Ы,1918
Ь,2012
Э,1922
Ю,2003
Я,1896
