Символ,Частота
_,20681
А,18143
Б,20594
В,18081
Г,20613
Д,18035
Е,20661
Ж,18269
З,20562
И,18294
Й,20409
К,18082
Л,20605
М,18135
Н,20577
О,18057
П,20753
Р,18193
С,20714
Т,18053
У,20275
Ф,17957
Х,20650
Ц,17914
Ч,20419
Ш,18323
Щ,20294
Ы,18343
Ь,20472
Э,18142
Ю,20283
Я,18155
